iter	Passed	Remaining
134	1391	8914
135	1402	8911
136	1412	8897
137	1419	8864
138	1428	8850
139	1435	8817
140	1440	8777
141	1448	8749
142	1453	8711
143	1464	8708
144	1471	8677
145	1482	8670
146	1499	8700
147	1507	8680
148	1515	8653
149	1520	8617
150	1528	8595
151	1533	8556
152	1540	8527
153	1545	8492
154	1550	8455
155	1557	8428
156	1563	8394
157	1569	8361
158	1575	8334
159	1580	8300
160	1586	8269
161	1592	8239
162	1597	8203
163	1607	8192
164	1613	8163
165	1621	8145
166	1627	8116
167	1636	8102
168	1642	8075
169	1649	8053
170	1656	8029
171	1666	8020
172	1672	7996
173	1683	7994
174	1693	7984
175	1705	7986
176	1718	7992
177	1725	7966
178	1735	7960
179	1741	7933
180	1748	7912
181	1754	7887
182	1761	7866
183	1769	7846
184	1776	7826
185	1784	7809
186	1790	7784
187	1796	7759
188	1803	7737
189	1811	7723
190	1817	7699
191	1822	7669
192	1829	7650
193	1835	7624
194	1840	7599
195	1847	7579
196	1852	7550
197	1861	7540
198	1866	7513
199	1871	7487
200	1877	7463
201	1882	7437
202	1888	7415
203	1894	7393
204	1899	7368
205	1906	7349
206	1912	7326
207	1917	7301
208	1923	7280
209	1928	7255
210	1933	7231
211	1940	7211
212	1945	7187
213	1950	7164
214	1956	7143
215	1961	7119
216	1967	7098
217	1974	7083
218	1979	7059
219	1985	7040
220	1991	7019
221	1996	6996
222	2003	6980
223	2008	6958
224	2014	6938
225	2020	6921
226	2026	6901
227	2032	6881
228	2038	6861
229	2043	6840
230	2049	6822
231	2054	6802
232	2059	6780
233	2066	6765
234	2072	6745
235	2077	6725
236	2085	6712
237	2090	6692
238	2096	6675
239	2102	6656
240	2107	6636
241	2115	6626
242	2120	6605
243	2125	6585
244	2131	6567
245	2136	6548
246	2142	6532
247	2148	6514
248	2153	6496
249	2159	6479
250	2165	6462
251	2171	6444
252	2177	6428
253	2183	6411
254	2189	6395
255	2195	6379
256	2201	6363
257	2207	6347
258	2213	6332
259	2220	6319
260	2227	6306
261	2233	6292
262	2241	6280
263	2247	6264
264	2253	6249
265	2259	6235
266	2265	6220
267	2272	6207
268	2279	6193
269	2285	6179
270	2291	6164
271	2297	6149
272	2303	6135
273	2309	6118
274	2314	6100
275	2320	6088
276	2325	6070
277	2332	6057
278	2338	6042
279	2343	6024
280	2349	6011
281	2354	5993
282	2358	5976
283	2364	5962
284	2370	5947
285	2375	5930
286	2382	5919
287	2387	5902
288	2392	5887
289	2399	5873
290	2404	5857
291	2409	5842
292	2415	5828
293	2420	5812
294	2426	5799
295	2432	5784
296	2436	5768
297	2442	5753
298	2447	5738
299	2452	5722
300	2458	5709
301	2463	5694
302	2468	5678
303	2474	5666
304	2480	5651
305	2484	5634
306	2491	5623
307	2497	5611
308	2502	5596
309	2509	5585
310	2514	5569
311	2518	5553
312	2525	5543
313	2530	5528
314	2536	5515
315	2541	5501
316	2547	5489
317	2553	5475
318	2558	5462
319	2563	5446
320	2569	5434
321	2574	5421
322	2579	5406
323	2584	5392
324	2590	5380
325	2595	5365
326	2601	5353
327	2606	5339
328	2611	5325
329	2617	5313
330	2622	5300
331	2627	5287
332	2634	5276
333	2638	5262
334	2643	5248
335	2650	5237
336	2655	5223
337	2659	5209
338	2666	5198
339	2670	5184
340	2675	5170
341	2681	5159
342	2686	5145
343	2691	5132
344	2697	5121
345	2702	5107
346	2707	5094
347	2713	5083
348	2718	5070
349	2723	5057
350	2731	5051
351	2736	5038
352	2742	5027
353	2748	5016
354	2754	5003
355	2760	4994
356	2765	4981
357	2770	4969
358	2778	4960
359	2783	4948
360	2790	4939
361	2797	4930
362	2802	4918
363	2810	4910
364	2815	4898
365	2822	4889
366	2828	4878
367	2833	4867
368	2842	4859
369	2847	4847
370	2852	4836
371	2858	4825
372	2863	4813
373	2868	4801
374	2875	4792
375	2880	4780
376	2886	4770
377	2892	4759
378	2897	4747
379	2904	4739
380	2909	4727
381	2914	4714
382	2920	4705
383	2926	4694
384	2932	4683
385	2938	4674
386	2944	4663
387	2950	4653
388	2955	4642
389	2960	4630
390	2967	4621
391	2972	4610
392	2977	4599
393	2988	4595
394	2997	4590
395	3005	4583
396	3018	4584
397	3024	4574
398	3034	4570
399	3043	4565
400	3057	4567
401	3068	4564
402	3078	4559
403	3086	4552
404	3099	4553
405	3116	4560
406	3126	4554
407	3136	4551
408	3145	4545
409	3153	4538
410	3167	4538
411	3177	4535
412	3186	4528
413	3199	4529
414	3207	4521
415	3214	4512
416	3220	4501
417	3228	4495
418	3245	4499
419	3251	4490
420	3260	4484
421	3268	4476
422	3280	4475
423	3287	4466
424	3294	4457
425	3305	4454
426	3311	4443
427	3318	4435
428	3328	4430
429	3339	4427
430	3350	4422
431	3363	4422
432	3373	4417
433	3392	4424
434	3415	4436
435	3440	4450
436	3449	4443
437	3460	4440
438	3472	4437
439	3481	4430
440	3488	4422
441	3502	4421
442	3507	4409
443	3514	4401
444	3522	4393
445	3533	4388
446	3537	4376
447	3550	4374
448	3555	4363
449	3565	4357
450	3574	4351
451	3582	4342
452	3589	4334
453	3597	4326
454	3604	4317
455	3612	4309
456	3617	4297
457	3624	4289
458	3630	4278
459	3635	4268
460	3643	4260
461	3648	4248
462	3655	4239
463	3660	4228
464	3665	4217
465	3675	4211
466	3681	4201
467	3690	4195
468	3697	4186
469	3704	4177
470	3709	4166
471	3716	4157
472	3722	4147
473	3726	4135
474	3733	4126
475	3738	4115
476	3744	4105
477	3751	4096
478	3756	4085
479	3762	4076
480	3769	4066
481	3773	4055
482	3779	4046
483	3785	4035
484	3790	4025
485	3797	4015
486	3802	4005
487	3807	3994
488	3814	3985
489	3819	3975
490	3826	3966
491	3831	3956
492	3837	3946
493	3844	3937
494	3849	3927
495	3855	3917
496	3861	3908
497	3866	3897
498	3872	3888
499	3879	3879
500	3884	3868
501	3891	3860
502	3895	3849
503	3900	3838
504	3906	3829
505	3912	3819
506	3917	3809
507	3924	3800
508	3929	3790
509	3934	3779
510	3955	3785
511	3962	3776
512	3970	3769
513	3979	3762
514	3986	3753
515	3992	3744
516	3997	3734
517	4004	3725
518	4010	3716
519	4016	3707
520	4023	3698
521	4029	3689
522	4035	3680
523	4041	3671
524	4048	3663
525	4055	3654
526	4061	3645
527	4068	3636
528	4073	3627
529	4080	3618
530	4087	3610
531	4093	3601
532	4100	3592
533	4105	3582
534	4111	3573
535	4117	3563
536	4122	3554
537	4128	3545
538	4134	3535
539	4139	3526
540	4145	3517
541	4150	3507
542	4156	3498
543	4162	3489
544	4167	3479
545	4174	3471
546	4181	3462
547	4185	3452
548	4192	3444
549	4197	3434
550	4202	3424
551	4209	3416
552	4216	3408
553	4224	3401
554	4229	3391
555	4236	3382
556	4242	3374
557	4248	3365
558	4255	3357
559	4261	3348
560	4267	3339
561	4274	3331
562	4280	3322
563	4286	3313
564	4292	3304
565	4296	3294
566	4302	3286
567	4308	3276
568	4313	3267
569	4321	3260
570	4327	3251
571	4349	3254
572	4356	3246
573	4362	3237
574	4368	3229
575	4374	3220
576	4380	3211
577	4386	3202
578	4392	3193
579	4398	3185
580	4404	3176
581	4409	3166
582	4416	3158
583	4422	3150
584	4428	3141
585	4434	3133
586	4440	3123
587	4447	3115
588	4452	3106
589	4457	3097
590	4463	3089
591	4469	3080
592	4475	3071
593	4481	3063
594	4486	3054
595	4493	3046
596	4500	3037
597	4506	3029
598	4513	3021
599	4519	3013
600	4529	3007
601	4537	2999
602	4544	2992
603	4551	2983
604	4560	2977
605	4567	2969
606	4575	2962
607	4580	2953
608	4587	2945
609	4593	2936
610	4600	2928
611	4608	2921
612	4614	2913
613	4621	2905
614	4626	2896
615	4633	2888
616	4639	2880
617	4645	2871
618	4652	2863
619	4658	2855
620	4665	2847
621	4671	2839
622	4678	2831
623	4684	2822
624	4689	2813
625	4695	2805
626	4701	2796
627	4706	2787
628	4712	2779
629	4718	2770
630	4723	2762
631	4729	2753
632	4734	2745
633	4740	2736
634	4746	2728
635	4751	2719
636	4758	2711
637	4764	2703
638	4769	2694
639	4777	2687
640	4783	2678
641	4789	2670
642	4794	2662
643	4799	2653
644	4805	2645
645	4812	2637
646	4817	2628
647	4824	2620
648	4829	2611
649	4835	2603
650	4841	2595
651	4846	2586
652	4854	2579
653	4860	2571
654	4865	2562
655	4871	2554
656	4876	2546
657	4882	2537
658	4889	2529
659	4894	2521
660	4900	2513
661	4905	2504
662	4910	2496
663	4916	2488
664	4922	2479
665	4928	2471
666	4935	2463
667	4940	2455
668	4945	2447
669	4952	2439
670	4959	2431
671	4965	2423
672	4970	2415
673	4975	2406
674	4981	2398
675	4986	2390
676	4991	2381
677	4997	2373
678	5002	2365
679	5007	2356
680	5013	2348
681	5018	2339
682	5023	2331
683	5029	2323
684	5034	2314
685	5039	2306
686	5044	2298
687	5049	2290
688	5055	2281
689	5061	2274
690	5067	2265
691	5072	2257
692	5078	2249
693	5083	2241
694	5089	2233
695	5094	2225
696	5100	2217
697	5107	2209
698	5112	2201
699	5118	2193
700	5125	2186
701	5129	2177
702	5134	2169
703	5140	2161
704	5145	2152
705	5150	2144
706	5156	2137
707	5161	2128
708	5167	2120
709	5172	2112
710	5177	2104
711	5184	2096
712	5189	2088
713	5193	2080
714	5199	2072
715	5204	2064
716	5209	2056
717	5215	2048
718	5220	2040
719	5225	2032
720	5231	2024
721	5236	2016
722	5241	2008
723	5247	2000
724	5252	1992
725	5257	1984
726	5263	1976
727	5269	1968
728	5274	1960
729	5281	1953
730	5285	1945
731	5291	1937
732	5297	1929
733	5303	1921
734	5309	1914
735	5315	1906
736	5320	1898
737	5327	1891
738	5331	1883
739	5336	1875
740	5343	1867
741	5348	1859
742	5354	1852
743	5360	1844
744	5365	1836
745	5370	1828
746	5375	1820
747	5380	1812
748	5385	1804
749	5391	1797
750	5395	1789
751	5400	1781
752	5405	1773
753	5410	1765
754	5416	1757
755	5421	1749
756	5427	1742
757	5432	1734
758	5437	1726
759	5443	1718
760	5448	1711
761	5454	1703
762	5459	1695
763	5465	1688
764	5471	1680
765	5477	1673
766	5482	1665
767	5487	1657
768	5493	1650
769	5500	1643
770	5507	1635
771	5514	1628
772	5519	1620
773	5526	1613
774	5535	1607
775	5540	1599
776	5547	1592
777	5553	1584
778	5558	1577
779	5564	1569
780	5570	1561
781	5575	1554
782	5582	1547
783	5587	1539
784	5593	1532
785	5599	1524
786	5604	1516
787	5610	1509
788	5615	1501
789	5620	1494
790	5627	1486
791	5632	1479
792	5637	1471
793	5644	1464
794	5649	1456
795	5654	1449
796	5660	1441
797	5665	1434
798	5671	1426
799	5677	1419
800	5682	1411
801	5688	1404
802	5693	1396
803	5699	1389
804	5705	1382
805	5711	1374
806	5716	1367
807	5723	1359
808	5728	1352
809	5734	1345
810	5740	1337
811	5747	1330
812	5755	1323
813	5760	1316
814	5766	1308
815	5771	1301
816	5776	1293
817	5783	1286
818	5789	1279
819	5794	1272
820	5801	1264
821	5806	1257
822	5813	1250
823	5819	1243
824	5824	1235
825	5831	1228
826	5836	1221
827	5841	1213
828	5848	1206
829	5853	1198
830	5858	1191
831	5864	1184
832	5870	1176
833	5877	1169
834	5883	1162
835	5887	1155
836	5893	1147
837	5899	1140
838	5904	1133
839	5911	1125
840	5916	1118
841	5922	1111
842	5928	1104
843	5934	1096
844	5940	1089
845	5946	1082
846	5951	1075
847	5957	1067
848	5963	1060
849	5968	1053
850	5975	1046
851	5980	1038
852	5987	1031
853	5993	1024
854	5999	1017
855	6006	1010
856	6012	1003
857	6019	996
858	6024	988
859	6030	981
860	6038	974
861	6043	967
862	6049	960
863	6055	953
864	6060	945
865	6067	938
866	6073	931
867	6079	924
868	6090	918
869	6097	911
870	6103	903
871	6108	896
872	6116	889
873	6122	882
874	6128	875
875	6134	868
876	6139	861
877	6145	853
878	6152	846
879	6158	839
880	6164	832
881	6170	825
882	6177	818
883	6183	811
884	6188	804
885	6195	797
886	6200	789
887	6206	782
888	6213	775
889	6218	768
890	6224	761
891	6230	754
892	6235	747
893	6242	740
894	6248	733
895	6253	725
896	6260	718
897	6266	711
898	6272	704
899	6279	697
900	6285	690
901	6292	683
902	6299	676
903	6306	669
904	6312	662
905	6319	655
906	6324	648
907	6331	641
908	6338	634
909	6344	627
910	6351	620
911	6358	613
912	6365	606
913	6371	599
914	6378	592
915	6385	585
916	6391	578
917	6399	571
918	6405	564
919	6412	557
920	6419	550
921	6426	543
922	6433	536
923	6439	529
924	6445	522
925	6451	515
926	6457	508
927	6465	501
928	6470	494
929	6477	487
930	6483	480
931	6489	473
932	6497	466
933	6502	459
934	6510	452
935	6516	445
936	6521	438
937	6527	431
938	6532	424
939	6538	417
940	6544	410
941	6549	403
942	6555	396
943	6561	389
944	6566	382
945	6571	375
946	6577	368
947	6583	361
948	6589	354
949	6595	347
950	6601	340
951	6607	333
952	6613	326
953	6619	319
954	6626	312
955	6632	305
956	6639	298
957	6644	291
958	6650	284
959	6655	277
960	6660	270
961	6666	263
962	6671	256
963	6676	249
964	6681	242
965	6686	235
966	6692	228
967	6697	221
968	6702	214
969	6707	207
970	6715	200
971	6720	193
972	6726	186
973	6732	179
974	6738	172
975	6744	165
976	6749	158
977	6755	151
978	6761	145
979	6767	138
980	6771	131
981	6778	124
982	6783	117
983	6788	110
984	6794	103
985	6800	96
986	6805	89
987	6812	82
988	6818	75
989	6824	68
990	6830	62
991	6836	55
992	6843	48
993	6848	41
994	6854	34
995	6860	27
996	6864	20
997	6871	13
998	6877	6
999	6882	0
